pais;ruta;item;cobobj;fecha;programados;objefect
CO;31011;Pastas;12.3;19/11/2024;244;0
CO;32011;Pastas;7.5;19/11/2024;266;0
CO;41011;Pastas;3.9;19/11/2024;232;0
CO;99101;Pastas;6.0;19/11/2024;232;0
CO;99102;Pastas;2.5;19/11/2024;200;0
CO;99103;Pastas;11.3;19/11/2024;221;0
CO;99104;Pastas;10.2;19/11/2024;235;0
CO;99105;Pastas;12.2;19/11/2024;181;0
CO;99106;Pastas;9.1;19/11/2024;219;0
CO;99107;Pastas;19.3;19/11/2024;212;0
CO;99108;Pastas;3.8;19/11/2024;184;0
CO;99109;Pastas;13.2;19/11/2024;234;0
CO;99201;Pastas;9.0;19/11/2024;245;0
CO;99202;Pastas;8.9;19/11/2024;224;0
CO;99203;Pastas;3.9;19/11/2024;233;0
CO;99204;Pastas;2.1;19/11/2024;243;0
CO;99205;Pastas;8.3;19/11/2024;253;0
CO;99206;Pastas;8.6;19/11/2024;245;0
CO;99207;Pastas;4.7;19/11/2024;254;0
CO;99208;Pastas;12.9;19/11/2024;217;0
CO;99301;Pastas;25.4;19/11/2024;248;0
CO;99302;Pastas;26.6;19/11/2024;214;0
CO;99303;Pastas;18.1;19/11/2024;215;0
CO;99304;Pastas;13.3;19/11/2024;271;0
CO;99305;Pastas;37.9;19/11/2024;219;0
CO;99306;Pastas;30.3;19/11/2024;218;0
CO;99307;Pastas;12.2;19/11/2024;246;0
CO;99308;Pastas;10.6;19/11/2024;217;0
CO;98101;Pastas;4.9;19/11/2024;308;0
CO;98102;Pastas;9.4;19/11/2024;160;0
CO;98103;Pastas;7.5;19/11/2024;280;0
CO;98104;Pastas;11.2;19/11/2024;338;0
CO;98105;Pastas;11.0;19/11/2024;264;0
CO;98106;Pastas;9.0;19/11/2024;289;0
CO;98107;Pastas;13.7;19/11/2024;263;0
CO;98108;Pastas;3.2;19/11/2024;281;0
CO;98201;Pastas;8.2;19/11/2024;294;0
CO;98202;Pastas;5.2;19/11/2024;286;0
CO;98203;Pastas;9.3;19/11/2024;290;0
CO;98204;Pastas;12.2;19/11/2024;230;0
CO;98205;Pastas;16.0;19/11/2024;287;0
CO;98206;Pastas;16.7;19/11/2024;269;0
CO;98207;Pastas;13.3;19/11/2024;263;0
CO;98301;Pastas;3.8;19/11/2024;316;0
CO;98302;Pastas;8.3;19/11/2024;312;0
CO;98303;Pastas;8.0;19/11/2024;274;0
CO;98304;Pastas;8.5;19/11/2024;293;0
CO;98305;Pastas;5.1;19/11/2024;276;0
CO;98306;Pastas;8.0;19/11/2024;261;0
CO;98307;Pastas;5.5;19/11/2024;199;0
CO;31001;Pastas;7.3;19/11/2024;314;0
CO;31002;Pastas;7.5;19/11/2024;254;0
CO;31003;Pastas;8.0;19/11/2024;263;0
CO;31004;Pastas;6.6;19/11/2024;256;0
CO;31005;Pastas;7.2;19/11/2024;278;0
CO;31006;Pastas;13.0;19/11/2024;239;0
CO;31007;Pastas;20.1;19/11/2024;274;0
CO;31008;Pastas;9.2;19/11/2024;262;0
CO;31009;Pastas;8.0;19/11/2024;262;0
CO;31010;Pastas;5.1;19/11/2024;256;0
CO;32001;Pastas;7.6;19/11/2024;276;0
CO;32002;Pastas;8.0;19/11/2024;264;0
CO;32003;Pastas;16.9;19/11/2024;260;0
CO;32004;Pastas;8.3;19/11/2024;253;0
CO;32005;Pastas;13.1;19/11/2024;251;0
CO;32006;Pastas;13.1;19/11/2024;268;0
CO;32007;Pastas;8.2;19/11/2024;282;0
CO;32008;Pastas;6.4;19/11/2024;283;0
CO;32009;Pastas;9.3;19/11/2024;289;0
CO;32010;Pastas;13.5;19/11/2024;267;0
CO;33002;Pastas;18.0;19/11/2024;250;0
CO;33003;Pastas;8.8;19/11/2024;274;0
CO;33004;Pastas;11.5;19/11/2024;261;0
CO;33005;Pastas;8.4;19/11/2024;263;0
CO;33006;Pastas;4.8;19/11/2024;334;0
CO;33007;Pastas;11.7;19/11/2024;326;0
CO;33008;Pastas;10.3;19/11/2024;272;0
CO;33009;Pastas;2.1;19/11/2024;291;0
CO;33010;Pastas;12.5;19/11/2024;240;0
CO;33001;Pastas;13.4;19/11/2024;238;0
CO;36001;Pastas;5.6;19/11/2024;251;0
CO;36002;Pastas;7.7;19/11/2024;235;0
CO;36003;Pastas;4.7;19/11/2024;236;0
CO;36004;Pastas;9.7;19/11/2024;298;0
CO;36005;Pastas;18.3;19/11/2024;241;0
CO;36006;Pastas;2.6;19/11/2024;192;0
CO;36007;Pastas;13.9;19/11/2024;180;0
CO;36008;Pastas;6.8;19/11/2024;177;0
CO;36009;Pastas;8.2;19/11/2024;158;0
CO;36010;Pastas;7.0;19/11/2024;229;0
CO;36011;Pastas;10.9;19/11/2024;248;0
CO;41001;Pastas;2.9;19/11/2024;275;0
CO;41002;Pastas;15.9;19/11/2024;270;0
CO;41003;Pastas;5.8;19/11/2024;241;0
CO;41004;Pastas;12.2;19/11/2024;262;0
CO;41005;Pastas;3.7;19/11/2024;268;0
CO;41006;Pastas;4.9;19/11/2024;226;0
CO;41007;Pastas;4.4;19/11/2024;249;0
CO;41008;Pastas;9.6;19/11/2024;261;0
CO;41009;Pastas;2.7;19/11/2024;262;0
CO;41010;Pastas;9.5;19/11/2024;274;0
CO;48001;Pastas;2.2;19/11/2024;89;0
CO;48002;Pastas;19.6;19/11/2024;46;0
